date,symbol,signal_time,entry_price,quantity,position_rs,stop_loss,target,rr,strategies_fired,agreeing_count,composite_score,driver_strategy,reason,exit_time,exit_price,exit_reason,result,pnl_rs,pnl_pct,predicted_win_pct
2023-02-22,FSL,10:10,115.35,2889,333246.15,113.6,118.85,2.0,"BOLLINGER,CAMARILLA,DAILY-BIAS,FIRST-CANDLE,MACD,ORB-15,ORB-30,REL-STR,RSI-EXT,SUPERTREND",3,4.3438,ORB-30,ORB-30: breakout above 115.35 (range=1.75),15:15,114.85,TIME_EXIT,LOSS,-1944.91,-0.58,49.2
2023-02-23,ITC,09:15,317.85,1048,333106.8,309.6225,365.975,5.85,"ASC-TRI,DAILY-BIAS,FIRST-CANDLE,ORB-15,ORB-30,PDH-PDL,REL-STR,SR-BREAK,STOCHASTIC,VPOC",3,2.5,ASC-TRI,Ascending Triangle: breakout above resistance 317.56,15:15,319.8,TIME_EXIT,WIN,1540.62,0.46,48.3
2023-02-24,STARHEALTH,10:25,563.0,592,333296.0,558.0,573.0,2.0,"CAMARILLA,DAILY-BIAS,DBL-BTM,EMA-CROSS,FIRST-CANDLE,ORB-30,SR-BREAK,STOCHASTIC,VPOC",2,2.6998,ORB-30,ORB-30: breakout above 563.00 (range=5.00),15:15,564.7,TIME_EXIT,WIN,503.98,0.15,48.1
2023-02-27,RADICO,11:10,1159.75,287,332848.25,1158.722448979592,1174.9836734693877,14.83,"ADX-FILTER,BOLLINGER,CAMARILLA,CPR,DAILY-BIAS,DBL-BTM,EMA-CROSS,MACD,PDH-PDL,RSI-EXT,SR-BREAK,STOCHASTIC,SUPERTREND,VPOC,VWAP-STDDEV",3,4.1061,VPOC,VPOC: rejection below VPOC=1160.25,13:55,1174.9836734693877,TARGET_HIT,EXACT_WIN,3867.59,1.16,49.0
2023-02-28,INDIAMART,09:20,2401.9375,138,331467.38,2389.21875,2452.8125,4.0,"ASC-TRI,CAMARILLA,DAILY-BIAS,FIRST-CANDLE,ORB-15,PDH-PDL,REL-STR,SR-BREAK,STOCHASTIC,VPOC",2,2.7812,CAMARILLA,CAMARILLA: breakout above H4=2401.94,15:15,2425.0,TIME_EXIT,WIN,2680.98,0.81,47.8
2023-03-01,INDIAMART,09:15,2430.29693877551,137,332950.68,2429.7086734693876,2456.180612244898,44.0,"ASC-TRI,CAMARILLA,DAILY-BIAS,DBL-BTM,FIRST-CANDLE,ORB-15,ORB-30,PDH-PDL,REL-STR,SR-BREAK,VOL-SPIKE,VPOC",5,6.131,VPOC,VPOC: breakout above VAH=2430.30,09:20,2456.180612244898,TARGET_HIT,EXACT_WIN,3042.1,0.91,58.7
2023-03-02,COALINDIA,09:25,203.815306122449,1635,333238.03,203.18010204081634,207.88061224489797,6.4,"CAMARILLA,DAILY-BIAS,DBL-BTM,FIRST-CANDLE,MACD,ORB-15,PDH-PDL,REL-STR,SR-BREAK,STOCHASTIC,SUPERTREND,VPOC",2,3.631,VPOC,VPOC: breakout above VAH=203.82,09:40,207.88061224489797,TARGET_HIT,EXACT_WIN,6139.97,1.84,47.7
2023-03-03,POWERGRID,09:15,163.99499999999998,2032,333237.84,162.92249999999999,168.28499999999994,4.0,"CAMARILLA,DAILY-BIAS,DBL-BTM,FIRST-CANDLE,ORB-15,PDH-PDL,REL-STR,SR-BREAK,STOCHASTIC",2,2.006,CAMARILLA,CAMARILLA: breakout above H4=163.99,15:10,162.92249999999999,STOP_HIT,LOSS,-2679.14,-0.8,48.4
2023-03-06,COROMANDEL,09:15,908.6102040816327,366,332551.33,907.5678571428571,917.180612244898,8.22,"ASC-TRI,CAMARILLA,CPR,DAILY-BIAS,DBL-BTM,FIRST-CANDLE,ORB-15,ORB-30,PDH-PDL,REL-STR,SR-BREAK,STOCHASTIC,VOL-SPIKE,VPOC",5,6.256,VPOC,VPOC: breakout above VAH=908.61,09:20,917.180612244898,TARGET_HIT,EXACT_WIN,2633.68,0.79,57.5
2023-03-08,BOSCHLTD,13:25,18726.05,17,318342.85,18154.5,19869.149999999998,2.0,"CAMARILLA,CPR,DAILY-BIAS,DBL-BTM,FIRST-CANDLE,ORB-15,ORB-30,PDH-PDL,REL-STR,SR-BREAK,STOCHASTIC,SUPERTREND,VOL-SPIKE,VPOC",4,6.256,VOL-SPIKE,"VOL-SPIKE: price at resistance 18525.00, vol 2.0x avg",15:15,18718.0,TIME_EXIT,LOSS,-617.98,-0.19,57.2
2023-03-09,LINDEINDIA,09:20,4000.79,83,332065.57,3949.695,4205.17,4.0,"ADX-FILTER,BULL-FLAG,CAMARILLA,DAILY-BIAS,FIRST-CANDLE,PDH-PDL,REL-STR,STOCHASTIC,VOL-SPIKE,VPOC",3,5.6054,CAMARILLA,CAMARILLA: breakout above H4=4000.79,15:15,4028.35,TIME_EXIT,WIN,1785.72,0.54,58.4
2023-03-10,ITC,10:25,320.7,1039,333207.3,305.9595,369.4,3.3,"ASC-TRI,BOLLINGER,CAMARILLA,DAILY-BIAS,FIRST-CANDLE,MACD,ORB-15,ORB-30,SR-BREAK,SUPERTREND,VPOC",3,4.25,ASC-TRI,Ascending Triangle: breakout above resistance 320.45,15:15,320.05,TIME_EXIT,LOSS,-1176.32,-0.35,48.0
2023-03-13,KAYNES,10:10,975.6,341,332679.6,961.55,1003.7000000000002,2.0,"DAILY-BIAS,DBL-BTM,FIRST-CANDLE,ORB-15,ORB-30,PDH-PDL,REL-STR,SR-BREAK,STOCHASTIC,VPOC",3,1.881,ORB-30,ORB-30: breakout above 975.60 (range=14.05),15:15,965.0,TIME_EXIT,LOSS,-4112.52,-1.24,48.8
2023-03-14,KAYNES,09:15,962.45125,346,333008.13,954.9024999999999,977.54875,2.0,"ADX-FILTER,BOLLINGER,CAMARILLA,DAILY-BIAS,DBL-BTM,MACD,RSI-EXT,VWAP-REV,VWAP-STDDEV",4,2.1311,CAMARILLA,"CAMARILLA: reversal at L3=962.45, target H3=977.55",10:20,954.9024999999999,STOP_HIT,LOSS,-3111.03,-0.93,51.7
