date,symbol,direction,signal_time,entry_price,quantity,position_rs,stop_loss,target,rr,strategies_fired,agreeing_count,composite_score,driver_strategy,reason,exit_time,exit_price,exit_reason,result,pnl_rs,pnl_pct,predicted_win_pct,conviction_tier
2026-05-08,PNBHOUSING,LONG,09:20,1072.3,363,389244.9,1017.225,1391.3,5.79,"ADX-FILTER,ASC-TRI,BULL-FLAG,CAMARILLA,DAILY-BIAS,FIRST-CANDLE,ORB-15,ORB-30,PDH-PDL,REL-STR,SR-BREAK,STOCHASTIC,VPOC",13,39.0,ASC-TRI,Ascending Triangle: breakout above resistance 1064.17,15:15,1090.0,TIME_EXIT,WIN,5842.11,1.5,50.0,STANDARD
2026-05-08,CUB,SHORT,09:45,268.6,1861,499864.6,271.55,262.70000000000005,2.0,"ADX-FILTER,FIRST-CANDLE,MACD,ORB-15,ORB-30,PDH-PDL,PIN-BAR,SR-BREAK,STOCHASTIC,SUPERTREND,VPOC",11,33.0,FIRST-CANDLE,FIRST-CANDLE: break below first candle low=268.60,10:25,262.70000000000005,TARGET_HIT,EXACT_WIN,10257.45,2.05,69.8,HIGH
2026-05-11,NESTLEIND,LONG,09:20,1480.0,337,498760.0,1470.5,1499.0,2.0,"BULL-FLAG,DAILY-BIAS,EMA-CROSS,FIRST-CANDLE,MACD,ORB-15,ORB-30,PDH-PDL,PIN-BAR,REL-STR,SR-BREAK,STOCHASTIC,SUPERTREND,VPOC",14,37.1665,FIRST-CANDLE,FIRST-CANDLE: break above first candle high=1480.00,15:15,1482.1,TIME_EXIT,LOSS,-20.08,-0.0,49.2,STANDARD
2026-05-11,CUB,SHORT,10:10,252.9,1977,499983.3,258.85,240.99999999999997,2.0,"ADX-FILTER,DAILY-BIAS,FIRST-CANDLE,INTRADAY-STRUCT,OPEN-WEAK,ORB-15,ORB-30,PDH-PDL,PIN-BAR,REL-STR,SR-BREAK,STOCHASTIC",11,33.5,FIRST-CANDLE,FIRST-CANDLE: break below first candle low=252.90,15:15,253.6,TIME_EXIT,LOSS,-2113.58,-0.42,69.1,HIGH
2026-05-12,APARINDS,LONG,09:45,12887.0,38,489706.0,12730.0,13201.0,2.0,"BOLLINGER,CAMARILLA,DAILY-BIAS,EMA-CROSS,FIRST-CANDLE,MACD,ORB-30,PDH-PDL,PIN-BAR,REL-STR,SR-BREAK,SUPERTREND,VPOC,VWAP-REV,VWAP-STDDEV",12,34.0727,FIRST-CANDLE,FIRST-CANDLE: break above first candle high=12887.00,11:00,12730.0,STOP_HIT,LOSS,-6676.15,-1.36,48.7,STANDARD
2026-05-12,LGEINDIA,SHORT,10:15,1496.0,334,499664.0,1513.6,1460.8000000000002,2.0,"ADX-FILTER,BEAR-ENGULF,BOLLINGER,DAILY-BIAS,FIRST-CANDLE,MACD,ORB-15,ORB-30,SR-BREAK,STOCHASTIC,SUPERTREND",11,33.0,FIRST-CANDLE,FIRST-CANDLE: break below first candle low=1496.00,15:15,1493.3,TIME_EXIT,WIN,173.86,0.03,68.2,HIGH
2026-05-13,APOLLOHOSP,LONG,10:20,8065.0,61,491965.0,7981.0,8233.0,2.0,"ADX-FILTER,BOLLINGER,CAMARILLA,DAILY-BIAS,DBL-BTM,EMA-CROSS,FIRST-CANDLE,MACD,ORB-15,ORB-30,PDH-PDL,PIN-BAR,REL-STR,SR-BREAK,SUPERTREND,VPOC",15,42.6977,FIRST-CANDLE,FIRST-CANDLE: break above first candle high=8065.00,15:15,8001.0,TIME_EXIT,LOSS,-4618.86,-0.94,48.9,STANDARD
2026-05-13,TVSMOTOR,SHORT,09:15,3579.45,139,497543.55,3600.9,3536.55,2.0,"ADX-FILTER,CAMARILLA,DAILY-BIAS,FAILED-BO,FIRST-CANDLE,ORB-15,ORB-30,PDH-PDL,PIN-BAR,RSI-EXT,SR-BREAK,STOCHASTIC,VWAP-REV",12,36.5,CAMARILLA,"CAMARILLA: reversal at H3=3579.45, target L3=3536.55",09:30,3536.55,TARGET_HIT,EXACT_WIN,5240.95,1.05,68.3,HIGH
2026-05-14,PIIND,LONG,10:10,3106.98,160,497116.8,3079.59,3216.5400000000004,4.0,"ASC-TRI,CAMARILLA,CPR,FIRST-CANDLE,MACD,ORB-15,ORB-30,PDH-PDL,REL-STR,SR-BREAK,STOCHASTIC,SUPERTREND,VPOC",13,36.6327,CAMARILLA,CAMARILLA: breakout above H4=3106.98,15:15,3105.4,TIME_EXIT,LOSS,-977.58,-0.2,49.5,STANDARD
2026-05-14,EXIDEIND,SHORT,09:30,352.885,1416,499685.16,355.47,347.71500000000003,2.0,"ADX-FILTER,CAMARILLA,FAILED-BO,FIRST-CANDLE,INTRADAY-STRUCT,MACD,ORB-15,PDH-PDL,PIN-BAR,SR-BREAK,STOCHASTIC,SUPERTREND,VPOC",13,39.0,CAMARILLA,"CAMARILLA: reversal at H3=352.88, target L3=347.72",09:50,347.71500000000003,TARGET_HIT,EXACT_WIN,6596.42,1.32,69.5,HIGH
2026-05-15,KOTAKBANK,LONG,09:30,384.8081632653061,1299,499865.8,383.369387755102,390.9469387755102,4.27,"ASC-TRI,CAMARILLA,DAILY-BIAS,DBL-BTM,EMA-CROSS,FIRST-CANDLE,MACD,ORB-15,ORB-30,PDH-PDL,PIN-BAR,REL-STR,SR-BREAK,STOCHASTIC,VPOC",15,42.5338,VPOC,VPOC: breakout above VAH=384.81,10:25,390.9469387755102,TARGET_HIT,EXACT_WIN,7239.23,1.45,49.4,STANDARD
2026-05-15,ATHERENERG,SHORT,09:15,948.7975,526,499067.48,955.095,936.2025,2.0,"ADX-FILTER,BOLLINGER,CAMARILLA,FAILED-BO,FIRST-CANDLE,INTRADAY-STRUCT,MACD,ORB-30,PIN-BAR,SR-BREAK,STOCHASTIC,SUPERTREND",12,36.0,CAMARILLA,"CAMARILLA: reversal at H3=948.80, target L3=936.20",09:25,936.2025,TARGET_HIT,EXACT_WIN,5901.12,1.18,68.8,HIGH
2026-05-18,INDUSTOWER,LONG,09:20,426.65,1171,499607.15,421.9,436.15,2.0,"BOLLINGER,CAMARILLA,DAILY-BIAS,DBL-BTM,EMA-CROSS,FIRST-CANDLE,MACD,PDH-PDL,PIN-BAR,REL-STR,RSI-EXT,SR-BREAK,STOCHASTIC,SUPERTREND,VPOC",13,37.1977,FIRST-CANDLE,FIRST-CANDLE: break above first candle high=426.65,15:15,431.1,TIME_EXIT,WIN,4478.45,0.9,47.9,STANDARD
2026-05-18,AXISBANK,SHORT,11:50,1230.0,406,499380.0,1239.0,1212.0,2.0,"ADX-FILTER,BEAR-FLAG,DAILY-BIAS,DESC-TRI,FIRST-CANDLE,OPEN-WEAK,ORB-15,ORB-30,PDH-PDL,PIN-BAR,SR-BREAK,STOCHASTIC,VWAP-STDDEV",11,33.625,FIRST-CANDLE,FIRST-CANDLE: break below first candle low=1230.00,13:55,1239.0,STOP_HIT,LOSS,-4384.15,-0.88,67.4,HIGH
2026-05-19,PIIND,LONG,09:20,3117.3,160,498768.0,3093.8,3164.3,2.0,"ASC-TRI,CPR,DAILY-BIAS,DBL-BTM,EMA-CROSS,FIRST-CANDLE,MACD,ORB-15,ORB-30,PDH-PDL,REL-STR,SR-BREAK,STOCHASTIC,SUPERTREND,VPOC",15,40.1665,FIRST-CANDLE,FIRST-CANDLE: break above first candle high=3117.30,10:15,3164.3,TARGET_HIT,EXACT_WIN,6786.82,1.36,48.9,STANDARD
2026-05-19,PAYTM,SHORT,09:30,1120.915,446,499928.09,1134.8300000000002,1093.085,2.0,"ADX-FILTER,BEAR-ENGULF,BOLLINGER,CAMARILLA,DAILY-BIAS,FAILED-BO,FIRST-CANDLE,MACD,ORB-15,ORB-30,REL-STR,RSI-EXT,SUPERTREND",13,39.0,CAMARILLA,"CAMARILLA: reversal at H3=1120.91, target L3=1093.09",15:15,1123.0,TIME_EXIT,LOSS,-1659.25,-0.33,67.5,HIGH
2026-05-20,POWERINDIA,LONG,09:25,33140.0,15,497100.0,32710.0,34000.0,2.0,"ADX-FILTER,BOLLINGER,CAMARILLA,DAILY-BIAS,FIRST-CANDLE,MACD,ORB-15,ORB-30,PDH-PDL,PIN-BAR,REL-STR,SR-BREAK,SUPERTREND,VPOC",13,39.1639,FIRST-CANDLE,FIRST-CANDLE: break above first candle high=33140.00,10:00,34000.0,TARGET_HIT,EXACT_WIN,12164.83,2.45,49.1,STANDARD
2026-05-20,ABCAPITAL,SHORT,09:15,353.0625,1416,499936.5,355.125,348.9375,2.0,"CAMARILLA,FAILED-BO,FIRST-CANDLE,MACD,ORB-15,ORB-30,PDH-PDL,PIN-BAR,REL-STR,SR-BREAK,SUPERTREND",11,33.0,CAMARILLA,"CAMARILLA: reversal at H3=353.06, target L3=348.94",09:45,348.9375,TARGET_HIT,EXACT_WIN,5115.52,1.02,69.7,HIGH
2026-05-21,INDUSTOWER,LONG,09:20,431.2125,1159,499775.29,429.35625,438.63749999999993,4.0,"ADX-FILTER,CAMARILLA,DAILY-BIAS,DBL-BTM,FIRST-CANDLE,ORB-15,ORB-30,PDH-PDL,PIN-BAR,REL-STR,SR-BREAK,STOCHASTIC,VPOC",13,39.0,CAMARILLA,CAMARILLA: breakout above H4=431.21,12:00,438.63749999999993,TARGET_HIT,EXACT_WIN,7870.16,1.57,50.0,STANDARD
2026-05-21,RADICO,SHORT,09:15,3601.9075000000003,138,497063.24,3635.815,3534.0924999999997,2.0,"ADX-FILTER,BOLLINGER,CAMARILLA,FIRST-CANDLE,MACD,ORB-15,ORB-30,PDH-PDL,PIN-BAR,RSI-EXT,STOCHASTIC,SUPERTREND,VPOC",13,39.0,CAMARILLA,"CAMARILLA: reversal at H3=3601.91, target L3=3534.09",15:15,3571.0,TIME_EXIT,WIN,3542.77,0.71,69.1,HIGH
2026-05-22,KEI,LONG,09:15,5258.0,55,289190.0,4900.5,6145.9,2.48,"ADX-FILTER,ASC-TRI,DAILY-BIAS,DBL-BTM,EMA-CROSS,FIRST-CANDLE,MACD,ORB-15,ORB-30,PDH-PDL,PIN-BAR,SR-BREAK,STOCHASTIC,SUPERTREND,VPOC",15,40.1665,ASC-TRI,Ascending Triangle: breakout above resistance 5223.45,15:15,5251.6,TIME_EXIT,LOSS,-793.21,-0.27,48.9,STANDARD
