date,symbol,direction,signal_time,entry_price,quantity,position_rs,stop_loss,target,rr,strategies_fired,agreeing_count,composite_score,driver_strategy,reason,exit_time,exit_price,exit_reason,result,pnl_rs,pnl_pct,predicted_win_pct,conviction_tier
2022-06-23,BDL,SHORT,09:30,368.0625,1358,499828.88,372.875,358.4375,2.0,"ADX-FILTER,CAMARILLA,DAILY-BIAS,FAILED-BO,MACD,PDH-PDL,REL-STR,SR-BREAK,STOCHASTIC,SUPERTREND,VPOC",11,33.0,CAMARILLA,"CAMARILLA: reversal at H3=368.06, target L3=358.44",15:15,367.0,TIME_EXIT,WIN,715.02,0.14,65.6,HIGH
2022-06-24,INDUSTOWER,LONG,09:35,213.9575,2336,499804.72,212.40375,220.17250000000004,4.0,"CAMARILLA,CPR,DAILY-BIAS,DBL-BTM,FIRST-CANDLE,GAP-CONT,ORB-30,PDH-PDL,PIN-BAR,REL-STR,STOCHASTIC,VPOC",9,36.0,CAMARILLA,CAMARILLA: breakout above H4=213.96,12:40,220.17250000000004,TARGET_HIT,EXACT_WIN,13778.1,2.76,41.8,STANDARD
2022-06-24,ASIANPAINT,SHORT,09:15,2781.56125,179,497899.46,2807.1225,2730.43875,2.0,"ADX-FILTER,BEAR-ENGULF,BOLLINGER,CAMARILLA,CPR,DAILY-BIAS,FAILED-BO,FIRST-CANDLE,ORB-15,PIN-BAR,REL-STR,SUPERTREND,VPOC,VWAP-STDDEV",13,36.8827,CAMARILLA,"CAMARILLA: reversal at H3=2781.56, target L3=2730.44",09:35,2730.43875,TARGET_HIT,EXACT_WIN,8430.11,1.69,63.9,HIGH
2022-06-27,ANGELONE,LONG,09:15,119.815,4173,499987.99,118.9075,123.445,4.0,"ADX-FILTER,CAMARILLA,FIRST-CANDLE,GAP-CONT,ORB-15,ORB-30,PDH-PDL,PIN-BAR,REL-STR,SR-BREAK,STOCHASTIC,VPOC",9,36.0,CAMARILLA,CAMARILLA: breakout above H4=119.81,09:55,123.445,TARGET_HIT,EXACT_WIN,14407.1,2.88,41.8,STANDARD
2022-06-27,BALRAMCHIN,SHORT,13:30,368.85,1355,499791.75,372.35249999999996,359.0,2.81,"ADX-FILTER,BEAR-ENGULF,BOLLINGER,CAMARILLA,CPR,DAILY-BIAS,DBL-TOP,FAILED-BO,FIRST-CANDLE,MACD,ORB-15,REL-STR,SUPERTREND",13,36.6327,BEAR-ENGULF,"Bear Engulf at resistance 373.35, vol 1.7×",15:15,368.3,TIME_EXIT,WIN,17.05,0.0,64.6,MEDIUM
2022-06-28,TVSMOTOR,LONG,09:35,799.75,625,499843.75,793.1,813.05,2.0,"ADX-FILTER,BOLLINGER,CAMARILLA,DAILY-BIAS,EMA-CROSS,FIRST-CANDLE,INTRADAY-STRUCT,MACD,ORB-15,ORB-30,PDH-PDL,REL-STR,SR-BREAK,STOCHASTIC,SUPERTREND,VPOC",9,39.7227,FIRST-CANDLE,FIRST-CANDLE: break above first candle high=799.75,10:15,813.05,TARGET_HIT,EXACT_WIN,7577.22,1.52,41.0,STANDARD
2022-06-28,SBILIFE,SHORT,09:20,1078.1,463,499160.3,1090.0,1054.2999999999997,2.0,"ADX-FILTER,DAILY-BIAS,DBL-TOP,FIRST-CANDLE,PDH-PDL,PIN-BAR,REL-STR,SR-BREAK,STOCHASTIC,VPOC,VWAP-STDDEV",10,30.25,FIRST-CANDLE,FIRST-CANDLE: break below first candle low=1078.10,15:15,1076.95,TIME_EXIT,LOSS,-195.01,-0.04,65.9,MEDIUM
2022-06-29,SHREECEM,LONG,09:50,19341.04081632653,25,483526.02,19236.928571428572,19834.204081632655,4.74,"CAMARILLA,CPR,FIRST-CANDLE,MACD,ORB-15,ORB-30,PDH-PDL,PIN-BAR,REL-STR,SR-BREAK,STOCHASTIC,VPOC",9,34.8986,VPOC,VPOC: breakout above VAH=19341.04,10:40,19236.928571428572,STOP_HIT,LOSS,-3307.19,-0.68,42.1,STANDARD
2022-06-29,BIOCON,SHORT,09:20,313.15,1596,499787.4,315.15,309.15,2.0,"DAILY-BIAS,DBL-TOP,DESC-TRI,FIRST-CANDLE,INTRADAY-STRUCT,OPEN-WEAK,ORB-15,PDH-PDL,PIN-BAR,REL-STR,SR-BREAK,STOCHASTIC",12,33.5,FIRST-CANDLE,FIRST-CANDLE: break below first candle low=313.15,09:40,309.15,TARGET_HIT,EXACT_WIN,5659.03,1.13,67.4,MEDIUM
2022-06-30,PVRINOX,LONG,09:25,1855.6575,269,499171.87,1848.3287500000001,1884.9725,4.0,"CAMARILLA,CPR,DAILY-BIAS,FIRST-CANDLE,ORB-15,ORB-30,PDH-PDL,PIN-BAR,SR-BREAK,STOCHASTIC,VPOC",9,33.0,CAMARILLA,CAMARILLA: breakout above H4=1855.66,09:55,1884.9725,TARGET_HIT,EXACT_WIN,7151.71,1.43,42.5,STANDARD
